smartstore,question,answer
채소애 (사업자 / 개인 사업자),오늘 주문하면 언제 받을 수 있나요?,오전 11시 이전에 주문하면 
채소애 (사업자 / 개인 사업자),초롱무 한단에 몇개 인가요?,한단에 8개 ~ 10개 입니다
채소애 (사업자 / 개인 사업자),무가 가장 맛있는 시기는 언제인가요?,"가을에 수확된 무는 기온이 낮아지면서 단맛이 증가하고 조직이 단단해져 아삭한 식감을 제공합니다. 특히 늦가을부터 초겨울 사이에 수확된 무는 육질이 단단하고 물이 많으며 단맛이 깊어지기 때문에 다양한 요리에 활용하기 좋습니다.
따라서, 무를 가장 맛있게 즐기고 싶다면 10월에서 12월 사이가 최적의 시기입니다."
채소애 (사업자 / 개인 사업자),무가 가장 맛있는 크기,중간 크기(약 1kg 전후): 적당히 달고 아삭한 식감을 유지하면서도 수분이 많고 맛이 균형 잡히는 경우가 많습니다. 이러한 크기의 무는 다양한 요리에 적합합니다.
채소애 (사업자 / 개인 사업자),무는 어떻게 보관해야 하나요?,"무는 냉장 보관하는 것이 좋습니다. 신선도를 유지하려면 수분을 유지하고, 흙을 제거한 후 비닐봉지에 싸서 보관하면 좋습니다."
채소애 (사업자 / 개인 사업자),무는 어떤 요리에 적합한가요?,"무는 김치, 동치미, 국, 찌개 등 다양한 요리에 적합합니다. 또한, 생으로 썰어 샐러드로 먹거나, 무조림, 무생채 등으로도 즐길 수 있습니다."
채소애 (사업자 / 개인 사업자),무가 너무 매운데 어떻게 먹으면 좋나요?,"무가 매운 맛이 강할 경우, 찬물에 잠시 담가두면 매운 맛이 감소합니다. 또한 식초나 설탕을 살짝 넣어 먹으면 매운 맛이 완화됩니다."
채소애 (사업자 / 개인 사업자),무는 어떻게 먹으면 건강에 좋나요?,"무는 소화에 좋고, 비타민 C가 풍부하여 면역력 강화에 도움을 줄 수 있습니다. 또한 해독작용과 배변활동에 도움을 주는 성분이 있어, 생으로 먹거나 국물에 넣어 먹으면 좋습니다."
채소애 (사업자 / 개인 사업자),오늘 주문하면 언제 받을 수 있나요?,오전 11시 이전에 주문하시면 금일 발송합니다
채소애 (사업자 / 개인 사업자),배추는 언제 제철인가요?,배추는 가을과 겨울에 제철입니다. 이 시기에 가장 맛있고 신선한 배추를 구매할 수 있습니다.
채소애 (사업자 / 개인 사업자),배추는 어떻게 보관해야 하나요?,배추는 냉장 보관이 필요합니다. 겉잎을 떼어내고 신문지나 비닐에 싸서 보관하면 더 오래 신선하게 유지됩니다.
채소애 (사업자 / 개인 사업자),배추는 얼마나 오래 보관할 수 있나요?,배추는 냉장 보관 시 1주일 내외로 신선도를 유지할 수 있습니다. 하지만 시간이 지나면 물러지거나 신선도가 떨어지므로 가급적 빨리 소비하는 것이 좋습니다.
채소애 (사업자 / 개인 사업자),배추의 영양소는 무엇인가요?,"배추는 비타민 C, 섬유소, 칼슘이 풍부합니다. 특히 비타민 C가 많아 면역력 강화에 도움이 됩니다."
채소애 (사업자 / 개인 사업자),배추는 어떻게 씻어야 하나요?,배추는 찬물에 여러 번 씻은 후 물기를 빼고 사용하는 것이 좋습니다. 김치를 담글 때는 소금에 잠깐 절여서 씻으면 더 잘 씻겨집니다.
채소애 (사업자 / 개인 사업자),오늘 주문하면 언제 받을 수 있나요?,오전 11시 이전에 주문하시면 금일 발송합니다
채소애 (사업자 / 개인 사업자),대파와 쪽파의 차이는 무엇인가요?,"대파는 큰 크기와 굵은 줄기가 특징이며, 길이가 길고, 흰 부분이 많습니다. 쪽파는 대파보다 크기가 작고, 잎이 가늘며 흰 부분과 녹색 부분이 적당히 섞여 있습니다. 쪽파는 일반적으로 더 부드럽고 섬세한 맛을 지니고 있습니다."
채소애 (사업자 / 개인 사업자),대파와 쪽파는 어떻게 보관해야 하나요?,"대파와 쪽파는 냉장 보관이 필요합니다. 습기를 제거한 후 신문지나 비닐봉지에 싸서 보관하면 더 오래 신선하게 유지됩니다. 또한, 대파는 세로로 자르고 물에 담아두면 뿌리가 다시 자라 신선도를 연장할 수 있습니다."
채소애 (사업자 / 개인 사업자),대파와 쪽파를 어떻게 손질하나요?,"대파는 흰 부분을 잘라내고, 녹색 부분은 적당히 썰어 사용합니다. 쪽파는 흰 부분과 녹색 부분을 모두 사용할 수 있으며, 흰 부분을 얇게 썰어 샐러드나 국물 요리에 사용하고, 녹색 부분은 쌈에 사용하면 좋습니다."
채소애 (사업자 / 개인 사업자),대파와 쪽파는 언제 구입하는 것이 좋나요?,"대파와 쪽파는 가을과 겨울에 제철입니다. 이 시기에 신선한 대파와 쪽파를 구입할 수 있습니다. 특히 대파는 겨울철에 더욱 맛있고, 쪽파는 봄과 가을에 맛이 좋습니다."
채소애 (사업자 / 개인 사업자),대파와 쪽파를 먹으면 건강에 어떤 효과가 있나요?,"대파와 쪽파에는 항염증, 항산화, 항암 효과가 있는 성분들이 포함되어 있어, 심혈관 건강을 증진시키고 면역력 향상에 도움이 됩니다. 또한, 소화 개선과 체내 독소 배출에도 도움을 줄 수 있습니다."
채소애 (사업자 / 개인 사업자),대파와 쪽파를 함께 사용해도 되나요?,"대파와 쪽파는 맛이 서로 보완되기 때문에 함께 사용해도 좋습니다. 대파의 구수한 맛과 쪽파의 향긋한 맛을 동시에 즐길 수 있습니다. 예를 들어, 국물 요리에는 대파, 볶음 요리에는 쪽파를 함께 넣어 사용하면 맛의 균형을 맞출 수 있습니다."
채소애 (사업자 / 개인 사업자),대파가 시들면 어떻게 다시 살릴 수 있나요?,"대파의 시든 상태를 회복하려면 물에 담가두면 다시 신선해질 수 있습니다. 흰 부분을 물에 담그고, 녹색 부분을 적당히 자르면서 물을 자주 교체해주면 몇 시간 내에 신선해집니다."
채소애 (사업자 / 개인 사업자),오늘 주문하면 언제 받을 수 있나요?,오전 11시 이전에 주문하시면 금일 발송합니다
채소애 (사업자 / 개인 사업자),양배추는 어떻게 보관해야 하나요?,"양배추는 서늘하고 건조한 곳에 보관하며, 냉장고에 넣으면 신선하게 오래 보관할 수 있습니다."
채소애 (사업자 / 개인 사업자),양배추는 어떻게 손질하나요?,"양배추의 겉잎을 벗기고, 중심 부분을 제거한 후 원하는 크기로 썰어서 사용하면 됩니다."
채소애 (사업자 / 개인 사업자),양배추의 영양소는 무엇이 있나요?,"양배추에는 비타민 C, 비타민 K, 식이섬유가 풍부하고, 항산화 효과와 소화 개선에 좋습니다."
채소애 (사업자 / 개인 사업자),양배추는 어떤 요리에 적합한가요?,"양배추는 김치, 볶음, 샐러드, 찜 등 다양한 요리에 사용됩니다."
채소애 (사업자 / 개인 사업자),양배추를 어떻게 삶으면 맛있게 먹을 수 있나요?,"양배추는 끓는 물에 살짝 데친 후, 올리브유나 간장으로 볶아 먹으면 맛있습니다."
채소애 (사업자 / 개인 사업자),양배추는 언제가 제철인가요?,"양배추는 겨울과 초봄에 제철이며, 이 시기에 맛과 영양이 가장 좋습니다."
채소애 (사업자 / 개인 사업자),양배추를 먹으면 어떤 건강 효과가 있나요?,"양배추는 소화 개선, 면역력 향상, 항염증 효과에 도움을 주며, 체중 관리에도 유익합니다."
채소애 (사업자 / 개인 사업자),양배추의 흰 부분과 녹색 부분을 어떻게 사용하나요?,"양배추의 흰 부분은 주로 찜이나 국물 요리에 사용하고, 녹색 부분은 샐러드나 볶음에 적합합니다."
채소애 (사업자 / 개인 사업자),양배추를 자주 먹으면 좋을까요?,"네, 양배추는 영양이 풍부하고 저칼로리이기 때문에, 매일 조금씩 섭취하면 건강에 좋습니다."
채소애 (사업자 / 개인 사업자),양배추를 씻을 때 주의할 점은 무엇인가요?,양배추는 겉잎을 잘 제거한 후 흐르는 물에 깨끗이 씻어 사용해야 합니다.
채소애 (사업자 / 개인 사업자),오늘 주문하면 언제 받을 수 있나요?,오전 11시 이전에 주문하시면 금일 발송합니다
채소애 (사업자 / 개인 사업자),생강은 어떻게 보관해야 하나요?,생강은 냉장 보관하면 신선하게 오랫동안 보관할 수 있습니다. 신선한 생강은 종이 타월로 감싸서 냉장고에 보관하세요.
채소애 (사업자 / 개인 사업자),생강을 어떻게 먹어야 하나요?,"생강은 생으로 먹거나 차, 요리, 샐러드 등에 활용할 수 있습니다. 또한 생강즙을 내어 음료로 마시기도 합니다."
채소애 (사업자 / 개인 사업자),생강의 효능은 무엇인가요?,"생강은 소화에 도움을 주고, 항염 효과가 있으며, 면역력을 높이는 데 도움을 줍니다. 또한 구토와 메스꺼움을 완화할 수 있습니다."
채소애 (사업자 / 개인 사업자),생강은 매운가요?,"생강은 특유의 매운맛과 향이 있지만, 그 맛은 다른 매운 음식들과는 달리 온화하게 느껴집니다."
채소애 (사업자 / 개인 사업자),생강은 언제 수확하나요?,생강은 보통 7-10개월 후에 수확할 수 있습니다. 뿌리가 굵고 탄탄할 때가 수확 시점입니다.
채소애 (사업자 / 개인 사업자),마를 어떻게 보관해야 하나요?,"마는 서늘하고 건조한 곳에 보관해야 하며, 직사광선을 피하고 통풍이 잘 되는 곳에서 보관하는 것이 좋습니다."
채소애 (사업자 / 개인 사업자),마를 어떻게 먹나요?,"마는 껍질을 벗겨 썰어서 볶거나 찌고, 국물에 넣어서 요리하는 방법으로 섭취할 수 있습니다."
채소애 (사업자 / 개인 사업자),마의 효능은 무엇인가요?,"마는 소화가 잘 되고, 체내 열을 내려주는 효능이 있으며, 피로 회복에 도움이 될 수 있습니다."
채소애 (사업자 / 개인 사업자),마는 언제 수확하나요?,마는 보통 9월에서 10월 사이에 수확할 수 있습니다. 마를 수확할 때는 뿌리가 잘 자라도록 기다리는 것이 중요합니다.
채소애 (사업자 / 개인 사업자),마의 품종은 어떤 것들이 있나요?,"마에는 여러 품종이 있으며, 대표적으로 백마, 홍마, 흑마 등이 있습니다."
채소애 (사업자 / 개인 사업자),오늘 주문하면 언제 받을 수 있나요?,오전 11시 이전에 주문하시면 금일 발송합니다
채소애 (사업자 / 개인 사업자),양파의 보관법은 어떻게 되나요?,양파는 서늘하고 통풍이 좋은 곳에서 보관해야 합니다. 습기가 많은 곳에서는 썩을 수 있으므로 건조한 곳에서 보관해주세요.
채소애 (사업자 / 개인 사업자),양파는 언제 수확하나요?,"양파는 일반적으로 봄에 심고, 가을에 수확합니다. 수확 시기가 지나면 양파가 갈라질 수 있기 때문에 제때 수확하는 것이 중요합니다."
채소애 (사업자 / 개인 사업자),양파는 어떻게 사용하나요?,"양파는 다양한 요리에 사용됩니다. 생으로 샐러드에 넣거나, 볶거나 구워서 요리에 활용할 수 있습니다."
채소애 (사업자 / 개인 사업자),양파의 건강 효능은 무엇인가요?,"양파에는 항산화 물질이 풍부하여 면역력을 강화하고, 혈액순환을 개선하는 데 도움이 됩니다. 또한 항염 효과가 있어 염증을 줄이는 데 유용합니다."
채소애 (사업자 / 개인 사업자),양파를 먹으면 눈물이 나는 이유는?,양파를 자를 때 방출되는 화학물질이 눈에 자극을 주어 눈물이 나게 됩니다. 이는 양파의 방어 기작 중 하나입니다.
채소애 (사업자 / 개인 사업자),양파의 종류는 무엇인가요?,"양파에는 흰양파, 노란양파, 빨간양파 등 여러 종류가 있으며, 각각의 맛과 향이 다릅니다."
채소애 (사업자 / 개인 사업자),양파는 어떻게 썰면 좋나요?,"양파를 썰 때는 끝 부분을 잘라낸 후, 세로로 반을 자르고 다시 가로로 썰면 쉽게 다지거나 슬라이스 할 수 있습니다."
채소애 (사업자 / 개인 사업자),양파의 유통기한은 얼마나 되나요?,"양파는 상온에서 2~3주 정도 보관이 가능하지만, 오래 보관할 경우 발아하거나 썩을 수 있습니다. 냉장보관은 권장되지 않습니다."
채소애 (사업자 / 개인 사업자),양파의 칼로리는 얼마나 되나요?,"양파는 저칼로리 식품으로, 100g당 약 40칼로리 정도입니다. 다이어트 식품으로 적합합니다."
채소애 (사업자 / 개인 사업자),양파를 먹을 때 주의할 점은 무엇인가요?,"양파는 생으로 먹을 경우 위장에 자극을 줄 수 있으므로, 위장이 약한 사람은 조리 후 먹는 것이 좋습니다."
채소애 (사업자 / 개인 사업자),오늘 주문하면 언제 받을 수 있나요?,오전 11시 이전에 주문하시면 금일 발송합니다
채소애 (사업자 / 개인 사업자),오이의 보관법 어떻게 되나요?,오이는 냉장고에서 보관하는 것이 가장 좋습니다. 습기 있는 환경에서 보관하면 신선도를 유지할 수 있습니다. 구입 후 빠르게 섭취하는 것이 좋습니다.
채소애 (사업자 / 개인 사업자),오이는 언제 제철인가요?,"오이는 보통 여름철이 제철로, 6월에서 8월 사이에 가장 신선하고 맛있습니다."
채소애 (사업자 / 개인 사업자),오이를 자를 때 껍질을 벗겨야 하나요?,오이 껍질은 얇고 영양이 풍부하므로 벗기지 않고 먹는 것이 좋습니다. 그러나 껍질이 질기거나 씁쓸할 경우 벗겨서 드셔도 괜찮습니다.
채소애 (사업자 / 개인 사업자),오이의 효능은 무엇인가요?,"오이는 수분이 많고 칼로리가 낮아 다이어트에 좋으며, 피부를 촉촉하게 하고 항산화 효과가 있어 건강에 도움이 됩니다. 또한 소화가 잘 되는 식품으로 알려져 있습니다."
채소애 (사업자 / 개인 사업자),오이의 유통기한은 얼마나 되나요?,"오이는 일반적으로 1주일 정도 신선도를 유지할 수 있으며, 냉장보관 시 5일에서 7일 정도가 적당합니다. 너무 오래 두면 물러지고 신선함을 잃을 수 있습니다."
채소애 (사업자 / 개인 사업자),오이를 먹으면 체내 수분이 많이 보충되나요?,"네, 오이는 수분 함량이 95% 이상으로 매우 높아 체내 수분을 효과적으로 보충할 수 있습니다. 특히 더운 날씨에 시원하게 먹으면 좋습니다."
채소애 (사업자 / 개인 사업자),오이를 어떻게 활용할 수 있나요?,"오이는 샐러드, 김치, 반찬 등 다양한 요리에 사용될 수 있으며, 생으로 먹거나 소금에 절여 먹으면 맛있습니다."
채소애 (사업자 / 개인 사업자),오이를 장기간 보관하려면 어떻게 해야 하나요?,"오이를 장기간 보관하려면 오이를 썰어 얼리거나 절여서 저장하는 방법이 있습니다. 다만, 생오이로 장기간 보관하는 것은 추천하지 않습니다."
채소애 (사업자 / 개인 사업자),오늘 주문하면 언제 받을 수 있나요?,오전 11시 이전에 주문하시면 금일 발송합니다
채소애 (사업자 / 개인 사업자),시금치는 어떻게 보관해야 하나요?,시금치는 신선도를 유지하기 위해 냉장 보관하는 것이 좋습니다. 습기가 많은 환경에서 보관하면 더 오래 신선하게 유지할 수 있습니다. 시금치는 빨리 시들기 때문에 구입 후 바로 섭취하는 것이 이상적입니다.
채소애 (사업자 / 개인 사업자),시금치를 어떻게 세척하나요?,시금치는 흐르는 찬물로 깨끗하게 씻어 주세요. 시금치에 흙이나 먼지가 묻어 있을 수 있으니 여러 번 헹구는 것이 좋습니다.
채소애 (사업자 / 개인 사업자),시금치의 효능은 무엇인가요?,"시금치는 철분, 비타민 A, C, K가 풍부하여 빈혈 예방과 면역력 강화에 좋습니다. 또한, 항산화 작용과 피부 건강에 도움이 되며, 소화를 촉진하고 체내 독소 배출에 도움을 줍니다."
채소애 (사업자 / 개인 사업자),시금치는 어떻게 조리하나요?,"시금치는 데치거나 볶아서 먹을 수 있습니다. 데치기 전에 깨끗이 씻고, 끓는 물에 잠깐 데친 후 찬물에 헹구면 색깔과 영양소를 보존할 수 있습니다. 볶을 때는 마늘, 양파와 함께 볶으면 더욱 맛있습니다."
채소애 (사업자 / 개인 사업자),시금치가 언제 제철인가요?,"시금치는 봄과 가을이 제철입니다. 특히 4월부터 6월, 그리고 9월부터 11월까지 가장 맛있고 신선한 시금치를 즐길 수 있습니다."
채소애 (사업자 / 개인 사업자),시금치가 신선한지 어떻게 알 수 있나요?,"신선한 시금치는 잎이 탱탱하고 초록색이 선명하며, 표면에 시들거나 갈변한 부분이 없어야 합니다. 또한, 시금치의 줄기는 부드럽고 촉촉해야 합니다."
채소애 (사업자 / 개인 사업자),시금치를 하루에 얼마나 먹어도 되나요?,"시금치는 영양이 풍부하지만, 하루 100g 정도가 적당합니다. 너무 많이 먹으면 옥살산 성분으로 인해 몸에 부담을 줄 수 있으므로 적당량 섭취하는 것이 좋습니다."
채소애 (사업자 / 개인 사업자),시금치의 유통기한은 얼마나 되나요?,시금치는 냉장 보관 시 대개 3일에서 5일 정도 신선도를 유지할 수 있습니다. 너무 오래 두면 시들고 색깔이 변하므로 빨리 섭취하는 것이 좋습니다.
채소애 (사업자 / 개인 사업자),시금치를 장기간 보관하려면 어떻게 해야 하나요?,시금치를 장기간 보관하려면 냉동 보관하는 방법이 있습니다. 깨끗이 씻은 시금치를 데친 후 물기를 빼고 냉동하면 몇 달 동안 보관할 수 있습니다.
채소애 (사업자 / 개인 사업자),시금치를 먹으면 체내 철분이 보충되나요?,"네, 시금치는 철분이 풍부하여 빈혈 예방에 도움이 됩니다. 다만, 철분 흡수를 돕기 위해 비타민 C가 풍부한 식품과 함께 먹으면 더 효과적입니다."
채소애 (사업자 / 개인 사업자),오늘 주문하면 언제 받을 수 있나요?,오전 11시 이전에 주문하시면 금일 발송합니다
채소애 (사업자 / 개인 사업자),감자의 보관 방법은 어떻게 되나요?,"감자는 서늘하고 어두운 곳에 보관해야 합니다. 냉장보관보다는 실온에서 보관하는 것이 좋으며, 2~3주 내에 소비하는 것이 이상적입니다."
채소애 (사업자 / 개인 사업자),유기농 감자도 있나요? ,"네, 저희 쇼핑몰에서는 유기농 감자도 판매하고 있습니다. 무농약 재배로 자란 유기농 감자를 선택하시면 더욱 건강한 식사를 즐기실 수 있습니다."
채소애 (사업자 / 개인 사업자),감자를 얼려서 보관할 수 있나요? ,"감자는 얼려서 보관할 수 있으나, 해동 후 질감이 조금 변할 수 있습니다. 감자 튀김이나 매시드 포테이토용으로 얼려 보관하는 것이 좋습니다."
채소애 (사업자 / 개인 사업자),이 감자는 어떤 요리에 적합한가요?,"이 감자는 감자탕, 감자조림, 매시드 포테이토, 구이 등 다양한 요리에 적합합니다. 특히 튀기거나 구울 때 바삭하고 부드러운 식감을 자랑합니다."
채소애 (사업자 / 개인 사업자),배송 중 감자가 상하지 않나요?,"저희는 감자를 온도 조절 가능한 포장으로 배송하여, 배송 중 신선도가 유지되도록 최선을 다합니다. 또한, 배송 중 상한 감자가 있을 경우 교환 가능합니다."
채소애 (사업자 / 개인 사업자),오늘 주문하면 언제 받을 수 있나요?,오전 11시 이전에 주문하시면 금일 발송합니다
채소애 (사업자 / 개인 사업자),사과의 크기는 어떻게 되나요?," 각 사과의 크기는 중간 크기로, 약 150g에서 200g 사이입니다. 다양한 크기의 사과를 원하시면, 소형 또는 대형 옵션을 선택하실 수 있습니다."
채소애 (사업자 / 개인 사업자),사과의 보관 방법은 어떻게 되나요?," 사과는 서늘하고 건조한 곳에 보관하는 것이 좋습니다. 냉장 보관하면 신선도를 오래 유지할 수 있으나, 실온에서 1~2주 정도 보관 가능합니다."
채소애 (사업자 / 개인 사업자),유기농 사과도 있나요?,"네, 저희는 유기농 사과도 판매하고 있습니다. 농약과 화학 비료를 사용하지 않고 재배된 사과로, 더욱 건강하게 즐기실 수 있습니다."
채소애 (사업자 / 개인 사업자),사과의 유통기한은 어떻게 되나요?,"사과의 유통기한은 보관 상태에 따라 달라지지만, 배송 후 1~2주 이내에 소비하는 것이 가장 좋습니다. 신선하게 드시려면 빠른 시일 내에 드시는 것을 권장합니다."
채소애 (사업자 / 개인 사업자),사과는 언제 제철인가요?,"사과의 제철은 가을부터 겨울까지입니다. 저희는 제철에 수확한 신선한 사과를 제공하므로, 가장 맛있는 시기에 사과를 즐기실 수 있습니다."
채소애 (사업자 / 개인 사업자),사과를 갈아서 보관할 수 있나요? ,"사과는 갈아서 즉시 섭취하는 것이 좋습니다. 갈아 놓으면 색이 변하고 질감이 변할 수 있으므로, 갈은 후 바로 드시는 것을 권장합니다."
채소애 (사업자 / 개인 사업자),사과의 껍질을 벗기지 않고 먹어도 되나요? ,"네, 사과의 껍질은 영양분이 풍부하고 식이섬유가 많이 포함되어 있어, 껍질을 함께 드시는 것이 건강에 좋습니다. 다만, 깨끗이 세척한 후 드세요."
채소애 (사업자 / 개인 사업자),사과에 알레르기가 있으면 먹지 말아야 하나요?,"사과에 알레르기가 있는 경우, 섭취를 피해야 합니다. 알레르기 반응은 사람마다 다를 수 있으므로, 증상이 나타나면 즉시 섭취를 중단하시고 전문가의 상담을 받는 것이 좋습니다."